A,B,C,D
3287,"Not a great experience. Do not recommend.

Ordered placed mid-June for 8 t-shirts (4 adults, and 4 youths). At the time of order, I was given a July 1st estimate for shipping and my credit card was charged immediately. On July 5th I reached out via email to Ottawa Custom Clothing inquiring on the status of our order and received no response. Called on July 6th and reached someone on a cell phone who sounded like they were out for a walk. Was told during that phone call that they weren't at the office and couldn't help me and was told to email. Order was then received on July 7th. The adult shirts were ok but the 'ladies' version of the t-shirts were just the unisex, and not the correct sizes. The youth shirts brand and colour was substituted so they do not match the adult shirts. Ottawa Custom Clothing has not responded to emails or phone calls.

I'll chalk this one down as a loss and not use them again in the future.",ottawacustomclothing,M
3288,"*Updated Review after receiving order*

Order of 2 shirts finally arrived after nearly 2 months. They are as described but I feel I missed how they are made when I placed the order. I was expecting an embroidered logo, however they are simple iron-ons that literally take 5 minutes to print and apply. In that respect I am disappointed, but glad I have backup shirts for my VistaPrint ones.

Secondly, I was surprised that an Ottawa-based company doesn't produce locally. My order came from ""A Popular Company"" from Kazabazua, QC. After trying to find info on this company, I found nothing. Big red flag right there. I get the whole 3rd-party reselling but be transparent about this.

Lastly, I cannot excuse the complete lack of communication. I phoned twice and spoke with Terry who was nice and all, but never followed up with me. Customer service is extremely high importance so I hope there's improvement there.

All in all, I'm fine with my $130 purchase but this place definitely needs to improve if they want to succeed further. And I hope they do.",ottawacustomclothing,M
3289,"The people who work here are amazing! Diligent, they take pride in what they do. Highly recommend this team over any big chain business!",ottawacustomclothing,M
3290,"I placed an order a month ago and they haven't contacted me in any way except to send the receipt, and haven't returned my emails or calls when the product was supposed to arrive 2 weeks ago. I saw on their Facebook that they mentioned delays earlier in December, however the least they could do is to send an email to notify their customers currently waiting on orders that they may experience a delay.

EDIT: The sweater I ordered did arrive a month or so after the expected delivery time. While the quality was good, they still never returned my calls nor emails, and only reached out to me to take down my review.",ottawacustomclothing,M
3291,Im literally a broke college student. I work two times a week making $15 an hour I cant work a lot because im in school right now. Im taking art and i wanted one of my designs on a sweater so i ordered from this place. Was suppose to get it March 2nd never got it emailed them and they told me it would be shipped out March 4th. I ordered it in February. It is not March 23rd and still nothing. I emailed them twice about a refund and how i dont want the order now and nothing. I literally have no money as it is i wanted the sweater and didnt get it now im out like $80 thanks a lot guys great service..,ottawacustomclothing,M
3292,"Ordered a custom tshirt in dry fit for working out. Received it in standard cotton which made it not fit for purpose. Emailed them to get it rectified and still no answer weeks later.
Printwell in future for me!",ottawacustomclothing,M
3293,"Ordered 55 sweaters for my company in early Dec 2020. Received my delivery on time, and everything was there, with no errors. The embroidery looked great! I was happy to be supporting a local Ottawa company. I admit I was a bit worried after hitting a full voicemail box a couple times, and when the sample sweater took longer than expected to come. However, Terry always returned my calls thanks to caller ID as well as my emails. He was knowledgeable when recommending products that matched my budget and features. The Ottawa Custom Clothing team pulled it off brilliantly, thank you.",ottawacustomclothing,M
3294,"Placed an order in Nov. Didn't arrive in time for the holidays. All good - called in January and phone was answered. Inquired about specific order. Person on phone confirmed the number I called on and indicated they'd call me back. No call back. Called later that week and next week - no answer. Left a message, no answer. Emailed with a follow-up - no answer. Finally, I emailed telling that I would be canceling the order and leaving a review on line. I received a response within a half an hour claiming that I seem to have a vendetta out for them.

EDIT: expect angry emails post review??",ottawacustomclothing,M
3295,I was very eager to get clothing printed for my new established business. I found OCC on google. Terry was very fast to answer after 9:00 pm. Sent me a sample of what i wanted within two minutes and my order was placed right away. My items were delivered promptly and by the time he had said. All i can say is he met my expectations and beyond. I appreciate it OCC!,ottawacustomclothing,M
3296,"One month after the delivery date and my shirts never arrived, and there was no response to my emails or phone calls. I'm all for supporting small business, and understand that smaller operations can get overwhelmed. That being said, they shouldn't be accepting people's money, providing delivery dates, and then disappearing. I had to dispute the charge with my credit card company, just a big waste of time.",ottawacustomclothing,M
